index,residual,b_nbaths,b_nbeds,b_area,b_age,se_nbaths,se_nbeds,se_area,se_age
2.800000000000000000e+01,-1.250577987314790973e-01,1.240322125626611149e-01,-3.568997099195647116e-01,8.346241694325144955e-01,-1.255586915666181691e-01,4.011645904539595797e-02,6.311203148029122245e-02,9.158863042657899856e-02,5.222414834043472009e-02
2.900000000000000000e+01,1.952783393267005785e-01,1.246112930277136349e-01,-2.175955445583636072e-01,8.137564212436683153e-01,-9.612178752374006541e-02,4.024880583207837703e-02,7.630508014069194156e-02,1.456229002910642556e-01,8.240089313947401850e-02
3.000000000000000000e+01,-3.107324916974810725e-01,1.259076259007216592e-01,-1.646943415304257252e-01,7.046680542805843217e-01,-1.109512614974661748e-01,4.025173976813004040e-02,7.363536312603746747e-02,1.455572616051072909e-01,9.004381711824119283e-02
3.100000000000000000e+01,2.103301479223554371e-01,1.186472583314837626e-01,-2.811655379287494524e-02,4.857271879706444029e-01,-1.036201822542199003e-01,3.976184174444015451e-02,7.131977054543824079e-02,1.782259324780788301e-01,8.322526618007107524e-02
3.200000000000000000e+01,1.090360541013510043e-01,1.152200586392965187e-01,-1.575041238060664039e-01,4.598566985112446104e-01,-3.424989979833226866e-02,3.956238698584228775e-02,8.168394295876411915e-02,1.686113090076961085e-01,6.828697998495797394e-02
3.300000000000000000e+01,5.470623889976870824e-03,1.185383877447577228e-01,-4.002817939329809949e-02,4.230158336879125680e-01,-2.339381573765787065e-02,3.971796937181611142e-02,7.602960115484888592e-02,1.675406697813638934e-01,9.474102052882775460e-02
3.400000000000000000e+01,-1.307307022352331705e-01,1.288767100271759614e-01,-7.173376592241298422e-02,3.114492160905412699e-01,3.584542699391841947e-02,4.028229691796868933e-02,9.260132848771789049e-02,1.630665101207720291e-01,9.714260354736507785e-02
3.500000000000000000e+01,1.731518561290604774e-01,1.160878526736368321e-01,-9.541396244997696341e-02,4.824978352482441890e-01,-5.052123538339129555e-02,3.959726574046321113e-02,8.913648645523895853e-02,1.417548687312977229e-01,6.859438018093749756e-02
3.600000000000000000e+01,-7.183858013462268710e-01,1.268723832271521912e-01,-5.516817560522332409e-01,6.180387217459902827e-01,-1.131814258795979106e-01,4.017621594274808222e-02,6.814865494682757763e-02,1.008422729934442125e-01,7.567684268206555098e-02
3.700000000000000000e+01,2.097024226508317768e-01,1.190869383723763136e-01,1.992539849240692815e-02,4.657273332567705149e-01,-3.482800702298777251e-02,3.978379112364163056e-02,7.141947582757161850e-02,9.027489752109997545e-02,5.447432147466592378e-02
3.800000000000000000e+01,7.397536984692486550e-01,1.261092142969911234e-01,-1.823676535469631044e-01,1.176590044689310721e+00,-2.464209647745566611e-01,4.001322110698307677e-02,8.090678119433616922e-02,1.411380608847081775e-01,9.836221947458856363e-02
3.900000000000000000e+01,5.320988482081061288e-03,1.252887601531400552e-01,-2.777355680356574652e-01,6.951749503404756059e-01,-1.117177887836594413e-01,4.001384771452221739e-02,8.212593080654491395e-02,1.506751410071151265e-01,9.604326897321648071e-02
4.000000000000000000e+01,2.206902327258035701e-01,1.248821393655600853e-01,-1.497914033957414848e-01,7.417842773312415261e-01,-2.527890105405207199e-01,4.000618546996183300e-02,7.415409470698378080e-02,1.671818098968174127e-01,7.884070102586064610e-02
4.100000000000000000e+01,1.789972714426171230e-01,1.239390289704854625e-01,-2.097069147939221445e-01,6.131218049240338974e-01,-1.726838479164164997e-01,4.002888990336999492e-02,6.758302107178114360e-02,1.171607555719049870e-01,5.088127759708349629e-02
4.200000000000000000e+01,2.837242290721797566e-01,1.267749901764656795e-01,-2.734810357835787409e-01,7.756464981179053142e-01,-1.984661900394798228e-01,4.004051702174464544e-02,6.879144902691736174e-02,1.255623323080265197e-01,6.042094796415777708e-02
4.300000000000000000e+01,5.419014069555325164e-02,1.163599167261349238e-01,-8.243707810221430343e-02,5.148707273328175793e-01,-2.921070751911150273e-02,3.960558996446353341e-02,8.522608107364081087e-02,1.749750047188911306e-01,6.686604727619918642e-02
4.400000000000000000e+01,-2.126010950724532833e-02,1.240640712553462005e-01,-1.603962886441283042e-01,5.349682548554623995e-01,-1.859253506811879009e-01,4.001909870304433403e-02,6.930662499689038691e-02,1.477384624577358918e-01,5.634944406736334954e-02
4.500000000000000000e+01,-7.703199989227690336e-01,1.174922318553676404e-01,-5.401099505265516409e-02,4.306787075575513324e-01,3.841833827965224213e-02,3.961499705472661115e-02,7.302714096016439671e-02,1.228439665498431838e-01,8.284660974627612584e-02
4.600000000000000000e+01,-2.869694110103430118e-01,1.173811818723742018e-01,2.655197165701456141e-02,5.172667847490747262e-01,-1.290150981503267701e-02,3.968254219624569451e-02,7.671673940878306897e-02,8.519857199256848646e-02,7.143410755779737442e-02
4.700000000000000000e+01,-2.312071706335569188e-01,1.242227557733139170e-01,-1.108832059088313282e-01,5.641173342005936231e-01,-2.052817004509860932e-01,4.000877013779409463e-02,6.867670513465837234e-02,1.549709621580247776e-01,6.309488125397699765e-02
4.800000000000000000e+01,5.127255278711593256e-01,1.181228310510620966e-01,1.307544649070706798e-02,5.217891064512883981e-01,-2.255358723809476953e-02,3.969004796786405886e-02,7.326207513787139081e-02,8.392599671217189361e-02,6.648738439345457107e-02
4.900000000000000000e+01,1.874421828833810477e-01,1.218694667444466806e-01,-1.238622752830662033e-01,5.087679471492446703e-01,4.082591428204998540e-02,4.005331705976734186e-02,7.979277749600111047e-02,1.960560375659279042e-01,1.014652717482388833e-01
5.000000000000000000e+01,1.072411317620906024e-01,1.185250979788604192e-01,-3.449016578553616708e-02,4.782479961470676999e-01,-5.927304718617009555e-02,3.973196522266188302e-02,7.163130300544166829e-02,1.707736450485608237e-01,8.533593385598309267e-02
5.100000000000000000e+01,-3.068438121130592777e-02,1.275825529826818960e-01,-4.418870679421003089e-01,1.239768394141410379e+00,-4.068633950072528815e-01,4.007345269936060661e-02,6.397805242800247427e-02,6.359696773343720411e-02,5.663063889263481032e-02
5.200000000000000000e+01,-2.859924361798482292e-02,1.189664165308537552e-01,-6.793588520862478726e-03,3.881242023582451850e-01,-2.587752142009686757e-02,3.971462994390960455e-02,7.576768338770059619e-02,1.313878116491251080e-01,8.613285804672880797e-02
5.300000000000000000e+01,-4.672064026135521186e-01,1.306966056770657858e-01,-1.277137011121388110e-01,7.443767746991665213e-01,-2.782641029971139046e-03,4.020783009785141443e-02,8.306282404160326982e-02,1.104419725603143498e-01,8.250934676875058826e-02
5.400000000000000000e+01,-1.286540552464172926e-01,1.202005453441941513e-01,-2.014520063174434633e-02,4.100727941894701800e-01,-1.571358821850349641e-01,3.994903802677056415e-02,7.512181329713547850e-02,1.785237307902078352e-01,1.100499155173233490e-01
5.500000000000000000e+01,-3.128905857134143265e-01,1.209550353908236536e-01,-3.946865163026198886e-02,3.864003619463896588e-01,-6.128977860205267469e-02,3.990282582454978549e-02,7.322921665981471651e-02,1.197703354181227364e-01,8.089937153919202206e-02
5.600000000000000000e+01,1.866404166384120766e-01,1.168981565430981806e-01,-8.290231965190325569e-02,4.712982655398163523e-01,6.206636377307461760e-02,3.959014397557198556e-02,8.001355129711854031e-02,1.216979005088045657e-01,8.642219607722109731e-02
5.700000000000000000e+01,-5.809399403613998980e-02,1.197363708595075432e-01,-7.183689274138049981e-03,4.157807422484050552e-01,-1.637228697101315855e-01,3.987032975965233705e-02,6.967510927681480615e-02,1.729344503395663091e-01,1.021677769143041897e-01
5.800000000000000000e+01,3.408552401788189634e-02,1.266414752391203935e-01,-5.911491769963088394e-02,4.658233551486415935e-01,-7.596251424042574363e-02,4.030374260394907482e-02,9.028961270737183298e-02,1.531027407085127356e-01,1.075556451621361154e-01
5.900000000000000000e+01,-2.250474458170466652e-01,1.189123329836979659e-01,-2.200439988320491633e-02,4.773556028320476430e-01,-1.209767749544363724e-01,3.978760559439836059e-02,7.073595583382444318e-02,1.853888918407129160e-01,8.450887721789766827e-02
6.000000000000000000e+01,3.430214956854015229e-01,1.309304911890287471e-01,-1.246033945839837287e-01,6.882491941345021402e-01,3.401388822707851478e-03,4.022988799092164919e-02,8.115585623009861915e-02,1.180075637043939557e-01,8.054873044416878403e-02
6.100000000000000000e+01,8.805592774744887274e-02,1.219354420062170735e-01,-7.763821670699609656e-02,4.862025754578235825e-01,-8.349524989766531069e-02,4.000668341094680558e-02,7.516484155033750780e-02,1.474043903335069405e-01,7.929804398647527508e-02
6.200000000000000000e+01,-1.448523522707334810e-01,1.162179476149515639e-01,-8.774017614371201756e-02,4.769078826678650462e-01,-4.359731630828514448e-02,3.960132688321677669e-02,8.744125370127608932e-02,1.692965395023085795e-01,6.773988197845486059e-02
