index,residual,b_intercept,b_nbaths,b_nbeds,b_area,b_age,se_intercept,se_nbaths,se_nbeds,se_area,se_age
3.100000000000000000e+01,4.751345926669063857e+01,1.362545769271673919e+02,2.084855925221281581e+01,9.867139296499116696e-02,6.937300692065409558e-02,-1.923979086420662288e+00,1.003087571295155078e-01,6.756520360113960066e-02,1.421871729579620158e-01,2.457172303798693213e-04,2.622344724327379736e-02
3.200000000000000000e+01,2.933543086707046399e+01,1.441511077905224170e+02,2.029252517473943485e+01,-2.437147871053296910e+01,1.006245317094490999e-01,-1.062729180245086669e+00,1.134214310196596798e-01,6.728213881633175741e-02,1.723784614581395369e-01,2.354105490859772045e-04,1.076358762895820650e-02
3.300000000000000000e+01,3.156918943354697049e+01,1.354350169248208715e+02,2.083372373514416864e+01,1.175242646969738569e+00,5.566566689402228929e-02,-1.266069504975811277e+00,9.632743917772920716e-02,6.749428590850321819e-02,1.538119783458437861e-01,2.347869879013650537e-04,1.186607702265358305e-02
3.400000000000000000e+01,-1.097866187412028971e+01,1.507982299084421527e+02,2.315016870414357442e+01,-1.781114660860756871e+01,7.603355621862367686e-02,-1.712384279358605266e+00,9.755669173364028834e-02,6.837591577007684496e-02,1.822428383218920311e-01,2.577692678958578730e-04,1.650027931857733429e-02
3.500000000000000000e+01,5.927722287628268560e+01,1.467867880391316646e+02,2.045685413587923662e+01,-1.175556018052448692e+01,1.107164359450459323e-01,-2.432708087866548574e-01,1.077708616578896550e-01,6.733823274660050151e-02,1.874181590992410606e-01,2.231158604097353425e-04,1.055575216921786352e-02
3.600000000000000000e+01,-1.713876715752724351e+02,1.808426870026495692e+02,2.268497221874606495e+01,-1.247358546638788255e+02,1.641915592603938601e-01,2.839992863441031523e-01,9.865688312459218456e-02,6.821133062279885473e-02,1.375422719383890546e-01,1.437732038678527012e-04,1.218260461660342076e-02
3.700000000000000000e+01,3.822173257062470242e+01,1.761098936024703789e+02,2.102531818809307040e+01,5.536268301345478982e+00,1.095350890979483044e-01,2.783024085533437608e-01,9.501804901695035110e-02,6.763172297765875085e-02,1.472030192705379159e-01,1.660048612233171943e-04,8.092628784012095844e-03
3.800000000000000000e+01,7.705925419200752913e+01,1.681640673447633105e+02,2.248450596788110190e+01,-3.692839116612275063e+01,1.853592233041810866e-01,-6.686824778519545376e+00,1.040186070125247025e-01,6.796978489110530597e-02,1.607656508107761784e-01,2.615177384221930852e-04,1.198896256156442228e-02
3.900000000000000000e+01,1.936458599863344432e+01,1.527330478847203210e+02,2.229912429106434502e+01,-5.306148008462825771e+01,1.558462083096981421e-01,-3.195383179421945608e-01,1.039912554880513956e-01,6.797768412587185116e-02,1.652710029434647232e-01,2.386682864682100602e-04,1.435386109548189744e-02
4.000000000000000000e+01,5.587372170144978156e+01,1.557363583827977038e+02,2.219066079075714981e+01,-3.169076618411567026e+01,1.482740631902698392e-01,-4.051511845433902081e+00,1.020697197641857318e-01,6.795560296161862190e-02,1.482162683986299190e-01,2.582890012030117908e-04,1.249923255721576733e-02
4.100000000000000000e+01,4.337298259367848630e+01,1.560452906314162078e+02,2.196039032200724961e+01,-5.143600755255880586e+01,1.470961308650544086e-01,-1.494308811902803846e+00,1.066239581964391614e-01,6.798391513761976868e-02,1.350319891418719220e-01,1.763828793749760960e-04,6.593563469822784177e-03
4.200000000000000000e+01,2.821074005580931043e+01,2.151442798426348588e+02,2.263679766991025133e+01,-5.265834295339863047e+01,1.995019978277597639e-01,-9.953425430517028882e-01,1.023457361107336649e-01,6.800579593861995342e-02,1.410433783712895794e-01,1.780461656844493782e-04,8.397662729361085598e-03
4.300000000000000000e+01,1.829101582793179048e+01,1.485299213974250847e+02,2.050572530712887342e+01,-9.658684615661226047e+00,9.577077352387285136e-02,1.406507874476909392e-01,1.062596839298579066e-01,6.734992669341040294e-02,1.778035525272491091e-01,2.205362291017179204e-04,1.366755090665975995e-02
4.400000000000000000e+01,1.045891102433685660e+00,1.521324661726411591e+02,2.198923276725037113e+01,-4.017532864176270380e+01,1.112150691147710813e-01,-1.544963579897937311e+00,1.069040143262615927e-01,6.796908922471782410e-02,1.392468460911350236e-01,2.167187298781622705e-04,7.000171417146617940e-03
4.500000000000000000e+01,-1.341772728900778588e+02,1.471697115708483636e+02,2.067005007138690331e+01,-6.691163353601033315e+00,8.971619243128974019e-02,-4.278780645746490530e-01,1.000834617125778009e-01,6.733940604077856551e-02,1.488094401565996372e-01,2.189742442166851854e-04,1.155919436546875602e-02
4.600000000000000000e+01,-2.711429511915415702e+01,1.675730341525640767e+02,2.071100813584066458e+01,1.118699071266872558e+01,1.061684630035451410e-01,-8.589596354084072516e-02,9.676105309580729230e-02,6.747782958849030122e-02,1.562657595067104555e-01,1.637611690516156215e-04,1.088076844549144828e-02
4.700000000000000000e+01,-1.835483792002164094e+01,1.491540637817005290e+02,2.202754886729396233e+01,-2.760254516999242114e+01,1.036654556041624042e-01,-1.987474795529258431e+00,1.058435804282871068e-01,6.795490788428047713e-02,1.379197089531432607e-01,2.357517000357023927e-04,9.215738561603119272e-03
4.800000000000000000e+01,7.147174580044179493e+01,1.711487340431042412e+02,2.082842301730055468e+01,7.031319373748651458e+00,1.076190421209202996e-01,-2.395097338107042173e+00,9.786607494034356425e-02,6.747765830602230064e-02,1.501323208255121722e-01,1.651884375564362923e-04,1.217090667960684172e-02
4.900000000000000000e+01,3.696428210562189065e+01,1.371304685193154853e+02,2.146075490066138158e+01,-2.118281987864094518e+01,6.886091504922048356e-02,-2.499744337596373489e-01,1.033860099317586156e-01,6.803908503025977994e-02,1.618414152307056653e-01,3.025898904283015937e-04,1.633465572564805901e-02
5.000000000000000000e+01,5.558116013991529769e+01,1.358356320757031881e+02,2.082939122364593842e+01,4.223624346855927580e-01,6.158515787064385016e-02,-1.433305395001823523e+00,9.885182713793946863e-02,6.751695660836583290e-02,1.436017210511546793e-01,2.432219798260297006e-04,1.279025699372347488e-02
5.100000000000000000e+01,-6.122522093566730206e+01,2.396057942219522374e+02,2.282551216378842085e+01,-8.495166091127441632e+01,2.601508234675223297e-01,-6.165891441723710287e+00,1.047288271017590700e-01,6.805553753175061504e-02,1.328976294586206586e-01,1.099586339438275473e-04,6.443685047218877457e-03
5.200000000000000000e+01,9.377286968401294942e+00,1.366158960459576690e+02,2.091642911791944925e+01,3.655645656330242854e+00,6.333939595815520074e-02,-8.998380670209099597e-01,9.717286671955661925e-02,6.748843659756770252e-02,1.520156732457294546e-01,2.261798275691836091e-04,1.101129963790783116e-02
5.300000000000000000e+01,-6.436374740675208272e+01,1.433297188666341810e+02,2.354015108125052791e+01,-2.837260589826274426e+01,1.532296954098837649e-01,-2.701161138862492095e+00,1.081804637082282999e-01,6.826491298546517872e-02,1.626631060448369415e-01,1.822126633000306607e-04,1.331158461665267814e-02
